  Barritas Redonda de Ternera para Perro,https://www.petsonic.com/3120-large_default/hobbit-alf-barritas-redonda-ternera-para-perros.jpg,400 Gr., 4.20 € ,900 Gr., 7.80 € 
  Barritas Redonda de Cordero para Perro,https://www.petsonic.com/3127-large_default/hobbit-alf-barritas-redonda-cordero-para-perros.jpg,400 Gr., 4.20 € ,900 Gr., 7.80 € 
  Barritas Redonda de Pollo para Perro,https://www.petsonic.com/3128-large_default/hobbit-alf-barritas-redonda-pollo-para-perros.jpg,400 Gr., 4.20 € ,900 Gr., 7.80 € 
  Mini Huesitos Tiernos Mix para Perros,https://www.petsonic.com/5858-large_default/hobbit-alf-mini-huesitos-tiernos-mix-para-perros.jpg,500 Gr., 3.60 € 
  Snack Toffy Salmón para Perro,https://www.petsonic.com/10933-large_default/nayeco-snack-toffy-salmon-para-perros.jpg,250 Gr., 3.10 € 
  Snack Toffy Pollo para Perro,https://www.petsonic.com/11042-large_default/nayeco-snack-toffy-pollo-para-perros.jpg,75 Gr., 2.75 € 
  Snack Toffy Cordero para Perro,https://www.petsonic.com/11044-large_default/nayeco-snack-toffy-cordero-para-perros.jpg,75 Gr., 2.75 € 
  Snack Toffy Surtido para Perro,https://www.petsonic.com/11167-large_default/nayeco-snack-toffy-surtido-para-perros.jpg,250 Gr., 2.75 € 
  Barritas 1kg Redonda Antisarro con Fluor Hobbit Alf,https://www.petsonic.com/3133-large_default/hobbit-alf-barritas-1kg-redonda-antisarro-fluor-para-perros.jpg
  Barrita de Cordero,https://www.petsonic.com/3194-large_default/nayeco-barrita-cordero-para-perros.jpg,500 Gr., 4.70 € 
  Delidog Barritas de Pollo,https://www.petsonic.com/8020-large_default/delidog-barritas-pollo-para-perros.jpg,800 Gr., 8.10 € 
  Delidog Barritas de Buey,https://www.petsonic.com/8018-large_default/delidog-barritas-buey-para-perros.jpg,800 Gr., 8.10 € 
  Delidog Barritas de Salmón,https://www.petsonic.com/8021-large_default/delidog-barritas-salmon-para-perros.jpg,800 Gr., 8.10 € 
  Delidog Barritas de Cordero,https://www.petsonic.com/8019-large_default/delidog-barritas-cordero-para-perros.jpg,800 Gr., 8.10 € 
  Delidog Barritas Grain Free,https://www.petsonic.com/8022-large_default/delidog-barritas-grain-free-para-perros.jpg,800 Gr., 8.10 € 
  Barritas de Pollo con Omega-3 para Perro,https://www.petsonic.com/11133-large_default/hobbit-alf-barritas-pollo-omega-3-para-perros.jpg,1 Kg., 15.80 € 
  Barritas de Cordero Omega-3 para Perro,https://www.petsonic.com/11132-large_default/hobbit-alf-barritas-cordero-omega-3-para-perros.jpg,1 Kg., 15.80 € 
  Barritas de Ternera con Omega-3 para Perro,https://www.petsonic.com/11134-large_default/hobbit-alf-barritas-ternera-omega-3-para-perros.jpg,1 Kg., 15.80 € 
  Bocaditos Tiernos de Salmón para Perro,https://www.petsonic.com/11081-large_default/hobbit-alf-bocaditos-tiernos-salmon-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Estrellas Tiernas de Salmón y Queso para Perro,https://www.petsonic.com/11078-large_default/hobbit-alf-estrellas-tiernas-salmon-queso-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Estrellita Tiernas de Salmón para Perro,https://www.petsonic.com/11079-large_default/hobbit-alf-estrellita-tiernas-salmon-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Estrellas Tiernas de Avestruz para Perro,https://www.petsonic.com/11080-large_default/hobbit-alf-estrellas-tiernas-avestruz-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Estrellas Tiernas de Ganso para Perro,https://www.petsonic.com/12040-large_default/hobbit-alf-estrellas-tiernas-ganso-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 13.90 € 
  Bocaditos Tiernos de Carne de Caza para Perros,https://www.petsonic.com/12041-large_default/hobbit-alf-bocaditos-tiernos-carne-caza-para-perros.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Fruit Mix para Perro,https://www.petsonic.com/12039-large_default/hobbit-alf-fruit-mix-para-perro.jpg,1 Unidad., 1.25 € ,16 Unidades, 18.95 € 
  Snack Huesitos Tiernos para Perros,https://www.petsonic.com/5862-large_default/hobbit-alf-snack-huesitos-tiernos-para-perros.jpg,Pollo, 1.80 € ,Cordero, 1.80 € 
  Palitos Tiernos de Ternera para Perro,https://www.petsonic.com/5863-large_default/hobbit-alf-palitos-tiernos-ternera-para-perros.jpg,13 Unidades., 2.95 € 
  Hueso Piel con Fluor para Perro,https://www.petsonic.com/5852-large_default/hobbit-alf-hueso-piel-fluor-para-perros.jpg,13 cm, 1.95 € ,25 cm, 5.75 € 
  Hueso Piel Sabor Barbacoa para Perro,https://www.petsonic.com/3143-large_default/hobbit-alf-hueso-piel-sabor-barbacoa-para-perros.jpg,13 cm, 1.95 € 
  Hueso de Piel Sabor Chocolate para Perro,https://www.petsonic.com/5850-large_default/hobbit-alf-hueso-piel-sabor-chocolate-para-perros.jpg,13 cm, 1.95 € 
  Nudillo de Ternera Calcio para Perro,https://www.petsonic.com/5854-large_default/hobbit-alf-nudillo-ternera-calcio-para-perros.jpg,2 Unidades, 0.60 € 
  Nudillo de Ternera Ahumado para Perro,https://www.petsonic.com/5853-large_default/hobbit-alf-nudillo-ternera-ahumado-para-perros.jpg,2 Unidades, 0.60 € 
  Cañailla de Jamón para Perro,https://www.petsonic.com/5857-large_default/hobbit-alf-canailla-jamon-para-perros.jpg,2 Unidades, 0.95 € 
  Mini Hueso Piel Fluor para Perros,https://www.petsonic.com/5860-large_default/hobbit-alf-mini-hueso-piel-fluor-para-perros.jpg,10 Unidades., 6.30 € 
  Hueso Calcio con Pollo para Perro,https://www.petsonic.com/11061-large_default/hobbit-alf-hueso-calcio-pollo-para-perros.jpg,100 Gr., 2.15 € 
  Filetes de pollo y Pato para Perro,https://www.petsonic.com/11054-large_default/hobbit-alf-filetes-pollo-pato-para-perros.jpg,100 Gr., 2.60 € 
  Huesitos Puppy con Pollo para Perro,https://www.petsonic.com/11055-large_default/hobbit-alf-huesitos-puppy-pollo-para-perros.jpg,100 Gr., 2.15 € 
  Muslitos de Pollo y Calcio para Perro,https://www.petsonic.com/11056-large_default/hobbit-alf-muslitos-pollo-calcio-para-perros.jpg,100 Gr., 2.15 € 
  Rosco Piel Fluor para Perro,https://www.petsonic.com/5847-large_default/hobbit-alf-rosco-piel-fluor-para-perros.jpg,1 Unidad., 2.10 € 
  Asta de Ciervo para Perro,https://www.petsonic.com/11247-large_default/natural-horn-asta-ciervo-para-perros.jpg,S, 4.35 € ,M, 6.15 € ,L, 10.95 € ,XL, 16.75 € ,XXL, 19.60 € 
  Hueso Jamón para Perro,https://www.petsonic.com/3152-large_default/hobbit-alf-hueso-jamon-para-perros.jpg,Talla Unica, 1.25 € 
  Hueso de Ternera para Perro,https://www.petsonic.com/12790-large_default/hueso-ternera-para-perro.jpg,30 cm, 4.50 € ,45 cm, 4.75 € 
  Hueso de Calcio Corto para Perro,https://www.petsonic.com/5846-large_default/hobbit-alf-hueso-calcio-corto-para-perros.jpg,1 Unidad., 1.40 € 
  Hueso Ternera con Calcio,https://www.petsonic.com/9577-large_default/hobbit-alf-hueso-ternera-calcio-para-perros.jpg,1 Unidad., 2.50 € 
  Hueso Ternera Ahumado para Perro,https://www.petsonic.com/9578-large_default/hobbit-alf-hueso-ternera-ahumado-para-perros.jpg,1 Unidad., 2.60 € 
  Huesos Piel Prensada para Perro,https://www.petsonic.com/12999-large_default/huesos-piel-prensada-para-perro.jpg,2 x 8 cm, 1.25 € ,14 cm, 1.50 € ,21.5 cm, 3.60 € ,27 cm, 4.15 € ,32 cm, 5.95 € 
  Huesos Marrowbone Nylon Rellenos para Perro,https://www.petsonic.com/6288-large_default/the-company-of-animals-huesos-marrowbone-nylon-rellenos-para-perros.jpg,9 cm, 3.40 € ,11.5 cm, 4.55 € ,13.5 cm, 6.20 € ,19 cm, 8.60 € ,23 cm, 11.40 € 
  Orejas de Cerda Extra para Perro,https://www.petsonic.com/8755-large_default/hobbit-alf-orejas-cerda-extra-para-perros.jpg,5 Unidades., 6.15 € ,25 Unidades, 29.25 € 
  Oreja de Cerdo,https://www.petsonic.com/3158-large_default/hobbit-alf-oreja-cerdo-para-perros.jpg,1 Unidad., 1.50 € 
  Oreja de Vaca Deshidratada para Perro,https://www.petsonic.com/9993-large_default/hobbit-alf-oreja-vaca-deshidratada-para-perros.jpg,1 Unidad., 0.60 € 
  Zapato Piel Masticable para Perro (10 unidades),https://www.petsonic.com/5867-large_default/trixie-zapato-piel-masticable-10-unidades-para-perros.jpg,12 cm, 6.90 € ,20 cm, 15.90 € 
  Tendón de Cuero para Perro,https://www.petsonic.com/3161-large_default/hobbit-alf-tendon-cuero-para-perros.jpg,100 Gr., 3.78 € ,1 Kg., 13.95 € 
  Pezuña de Ternera Rellena para Perro,https://www.petsonic.com/8214-large_default/hobbit-alf-pezuna-ternera-rellena-para-perros.jpg,1 Unidad., 1.40 € 
  Nervio de Cerdo Trenzado para Perro,https://www.petsonic.com/12822-large_default/nervio-cerdo-trenzado-para-perro.jpg,20 cm, 1.90 € 
  Nervio de Toro 15 cm para Perro,https://www.petsonic.com/3172-large_default/hobbit-alf-nervio-toro-15-cm-para-perros.jpg,10 Unidades., 12.15 € ,40 Unidades., 45.35 € 
  Puntas de Nervio de Toro,https://www.petsonic.com/3164-large_default/hobbit-alf-puntas-nervio-toro-para-perros.jpg,500 Gr., 11.20 € 
  35 Und. Nervio Bovino Nayeco,https://www.petsonic.com/3173-large_default/nayeco-35-und-nervio-bovino-para-perros.jpg
  Nervio de Toro 20cm para Perros,https://www.petsonic.com/3169-large_default/hobbit-alf-nervio-toro-20cm-para-perros.jpg,7 Unidades., 13.90 € 
  Nervio de Toro 60-70cm para Perro,https://www.petsonic.com/3196-large_default/hobbit-alf-nervio-toro-60-70cm-para-perros.jpg,1 Unidad., 4.75 € ,Pack 10 unidades, 47.30 € 
  Cigarrillos Colores de Piel para Perro,https://www.petsonic.com/8518-large_default/dimac-cigarrillos-colores-piel-para-perros.jpg,100 unidades, 4.95 € 
  Palitos Mordedores de Piel para Perro,https://www.petsonic.com/9463-large_default/ferribiella-palitos-mordedores-piel-para-perros.jpg,4 Unidades., 1.60 € 
  Snack de Piel para Perro,https://www.petsonic.com/10104-large_default/bravo-snack-piel-para-perros.jpg,4 Unidades, 9.95 € 
  Snack Piel Surtido para Perro,https://www.petsonic.com/10105-large_default/bravo-snack-piel-surtido-para-perros.jpg,7 Unidades., 12.95 € 
  Palitos de Piel para Perro 100 unidades,https://www.petsonic.com/8392-large_default/trixie-palitos-piel-100-unidades-para-perros.jpg,Ø 5 a 6 mm, 8.55 € ,Ø 7 a 8 mm, 10.70 € ,Ø 9 a 10 mm, 16.75 € 
  Tira de Tendón para Perro,https://www.petsonic.com/3168-large_default/hobbit-alf-tira-tendon-para-perros.jpg,1 Unidad., 0.85 € 
  Tendon Extra 20cm para Perro,https://www.petsonic.com/5849-large_default/hobbit-alf-tendon-extra-20cm-para-perros.jpg,1 Unidad., 1.75 € 
  Busy Buddy Recambio Premio Natural para Perro,https://www.petsonic.com/8506-large_default/nayeco-busy-buddy-recambio-premio-natural-para-perros.jpg,Talla 1, 2.95 € ,Talla 2, 6.30 € ,Talla 3, 8.80 € 
  Huesos Prensados de Arroz para Perro,https://www.petsonic.com/6612-large_default/trixie-huesos-prensados-arroz-para-perros.jpg,2 Unidades, 2.15 € 
  Rollito de Tripa Relleno de Yogur para Perro,https://www.petsonic.com/7167-large_default/trixie-rollito-tripa-relleno-yogur-para-perros.jpg,100 Unidades, 64.45 € 
  Snack -Premio Paté Pollo,https://www.petsonic.com/8646-large_default/trixie-snack-premio-pate-pollo-para-perros.jpg,100 Gr., 3.95 € 
  Snack-Premio Paté Hígado,https://www.petsonic.com/8393-large_default/trixie-snack-premio-pate-higado-para-perros.jpg,110 Gr., 3.30 € 
  Snack Paté de Bacon para Perro,https://www.petsonic.com/12408-large_default/snack-pate-bacon-para-perro.jpg,110 Gr., 3.75 € 
  Snack Paté de Salmón para Perro,https://www.petsonic.com/12407-large_default/snack-pate-salmon-para-perro.jpg,110 Gr., 3.75 € 
  Snacks Vitaminados Sabor Yogur para Perro,https://www.petsonic.com/8411-large_default/trixie-snacks-vitaminados-sabor-yogur-para-perros.jpg,75 Gr., 1.50 € 
  Tableta Chocolate para Perros,https://www.petsonic.com/6614-large_default/trixie-tableta-chocolate-para-perros.jpg,100 Gr., 1.50 € 
  Tableta Chocolate Blanco para Perros,https://www.petsonic.com/6613-large_default/trixie-tableta-chocolate-blanco-para-perros.jpg,100 Gr., 1.50 € 
  Snacks Tiras de Pollo Deshidratado para Perro,https://www.petsonic.com/8406-large_default/trixie-snacks-tiras-pollo-deshidratado-para-perros.jpg,100 Gr., 3.10 € 
  Snack Pollo y Merluza para Perro,https://www.petsonic.com/12125-large_default/snack-pollo-merluza-para-perro.jpg,75 Gr., 1.95 € 
  Snacks Crispy Duck para Perro,https://www.petsonic.com/12124-large_default/snacks-cripspy-duck-para-perro.jpg,100 Gr., 3.95 € 
  Snakcs Pollo y Plátano para Perro,https://www.petsonic.com/12403-large_default/snakcs-pollo-platano-para-perro.jpg,100 Gr., 2.95 € 
  Snack Pollo y Queso para Perro,https://www.petsonic.com/12404-large_default/snack-pollo-queso-para-perro.jpg,100 Gr., 2.95 € 
  Snacks Bites Pato para Perro,https://www.petsonic.com/12447-large_default/snacks-bites-pato-para-perro.jpg,80 Gr, 2.95 € 
  Snack Pato y Arroz para Perro,https://www.petsonic.com/12406-large_default/snack-pato-arroz-para-perro.jpg,80 Gr, 2.95 € 
  Snack Pato para Perro,https://www.petsonic.com/12405-large_default/snack-pato-para-perro.jpg,80 Gr, 2.95 € 
  Braaaf Hueso de piel de pescado para Perro,https://www.petsonic.com/12144-large_default/hueso-piel-pescado-para-perro.jpg,90 Gr, 5.75 € ,100 Gr., 5.95 € ,120 gr, 6.50 € 
  Super Star Snacks Adiestramiento para Perro.,https://www.petsonic.com/5892-large_default/fish4dogs-super-star-snacks-adiestramiento-para-perros.jpg,75 Gr., 3.95 € 
  Sea Jerky Tiras de Piel de Pescado Deshidratado para Perro,https://www.petsonic.com/3214-large_default/fish4dogs-sea-jerky-tiras-piel-pescado-deshidratado-para-perros.jpg,100 Gr., 3.95 € 
  Sea Wraps con Bacalao y Boniato para Perro,https://www.petsonic.com/3257-large_default/fish4dogs-sea-wraps-bacalao-boniato-para-perros.jpg,100 Gr., 3.95 € 
  Sea Jerky Trenzas de Pescado Deshidratado para Perro,https://www.petsonic.com/3220-large_default/fish4dogs-sea-jerky-trenzas-pescado-deshidratado-para-perros.jpg,100 Gr., 3.95 € 
  Sea Jerky Tacos de Pescado Deshidratado para Perro,https://www.petsonic.com/3218-large_default/fish4dogs-sea-jerky-tacos-pescado-deshidratado-para-perros.jpg,100 Gr., 3.95 € 
  Sea Jerky Taquitos de Pescado Pequeños Deshidratados para Perro,https://www.petsonic.com/3216-large_default/fish4dogs-sea-jerky-taquitos-pescado-pequenos-deshidratados-para-perros.jpg,100 Gr., 3.95 € 
  Sea Jerky Huesos de Piel de Pescado Deshidratada para Perro,https://www.petsonic.com/5889-large_default/fish4dogs-sea-jerky-huesos-piel-pescado-deshidratada-para-perros.jpg,100 Gr., 3.95 € 
  Sea Biscuits Tiddlers para Perros,https://www.petsonic.com/5883-large_default/fish4dogs-sea-biscuits-tiddlers-para-perros.jpg,100 Gr., 3.95 € 
  Snack Icelandic Fish Cubes para perros,https://www.petsonic.com/12970-large_default/snack-icelandic-fish-cubes-para-perros.jpg,100 Gr., 5.95 € 
  Snack de Pescado y Patata para Perro,https://www.petsonic.com/11026-large_default/fish4dogs-snack-pescado-patata-para-perros.jpg,75 Gr., 4.95 € 
  Bocados de Calamar,https://www.petsonic.com/10090-large_default/fish4dogs-bocados-calamar-para-perros.jpg,75 Gr., 4.50 € 
  Anillas de Calamar,https://www.petsonic.com/10089-large_default/fish4dogs-anillas-calamar-para-perros.jpg,75 Gr., 4.95 € 
  Galletas con Frutas del Bosque para Perro,https://www.petsonic.com/5434-large_default/naturea-galletas-frutas-bosque-para-perros.jpg,230 Gr., 5.10 € 
  Galletas de Manzana y Canela para Perro,https://www.petsonic.com/5433-large_default/naturea-galletas-manzana-canela-para-perros.jpg,230 Gr., 5.10 € 
  Galletas con Tomate Aceite de Oliva y Queso Parmesano para Perro,https://www.petsonic.com/5437-large_default/naturea-galletas-tomate-aceite-oliva-queso-parmesano-para-perros.jpg,230 Gr., 5.10 € 
  Galletas con Pato y Moras para Perro,https://www.petsonic.com/5436-large_default/naturea-galletas-pato-moras-para-perros.jpg,230 Gr., 5.36 € 
  Galletas con Yogurt y Miel para Perro,https://www.petsonic.com/5438-large_default/naturea-galletas-yogurt-miel-para-perros.jpg,230 Gr., 5.10 € 
  Galletas con Pescado Aceite de oliva y Hierbas Aromáticas para Perro,https://www.petsonic.com/5435-large_default/naturea-galletas-pescado-aceite-oliva-hierbas-aromaticas-para-perros.jpg,230 Gr., 5.10 € 
  Galletas Puppy para Perro,https://www.petsonic.com/5831-large_default/hobbit-alf-galletas-puppy-para-perros.jpg,100 Gr., 0.60 € ,200 Gr., 1.50 € ,430 gr, 2.60 € ,"2,5 Kg.", 14.20 € 
  Galletas Granja para Perro,https://www.petsonic.com/5830-large_default/hobbit-alf-galletas-granja-para-perros.jpg,200 Gr., 1.50 € ,430 gr, 2.60 € ,4 Kg., 18.70 € 
  Galleta Croqueta Queso y Pollo para Perro,https://www.petsonic.com/5855-large_default/hobbit-alf-galleta-croqueta-queso-pollo-para-perros.jpg,430 gr, 2.60 € 
  Galletas Alfito de Carne para Perro,https://www.petsonic.com/5877-large_default/hobbit-alf-galletas-alfito-carne-para-perros.jpg,430 gr, 2.60 € 
  Galleta Happy Happer Mix para Perros,https://www.petsonic.com/5871-large_default/hobbit-alf-galleta-happy-happer-mix-para-perros.jpg,5 Kg , 22.95 € 
  Galletas Jumbo Mini Mix para Perro,https://www.petsonic.com/5878-large_default/hobbit-alf-galletas-jumbo-mini-mix-para-perros.jpg,430 gr, 2.60 € 
  Pasta Easy Treat para Cachorros,https://www.petsonic.com/13277-large_default/kong-pasta-easy-treat-para-cachorros-para-perros.jpg,0.236 L, 6.00 € 
  Pasta Easy Treat para Perro,https://www.petsonic.com/13278-large_default/kong-pasta-easy-treat-para-perros.jpg,0.236 L, 6.00 € 
  Galletas para Cachorro,https://www.petsonic.com/6621-large_default/kong-galletas-para-cachorro-para-perros.jpg,300 Gr., 6.25 € 
  Galletas Sabor Hígado para Perros Pequeños,https://www.petsonic.com/7109-large_default/kong-galletas-sabor-higado-pequenos-para-perros.jpg,200 Gr., 4.85 € 
  Galletas para Perro,https://www.petsonic.com/6620-large_default/kong-galletas-para-perros.jpg,300 Gr., 6.25 € 
  Delibakie Biscotti,https://www.petsonic.com/7276-large_default/purina-pro-plan-delibakie-biscotti-para-perros.jpg,90 Gr, 0.95 € ,270 Gr, 2.40 € 
  Delibakie Hearts,https://www.petsonic.com/7253-large_default/purina-pro-plan-delibakie-hearts-para-perros.jpg,100 Gr., 1.15 € ,350 Gr., 2.50 € 
  Delibakie Rolls,https://www.petsonic.com/7257-large_default/purina-pro-plan-delibakie-rolls-para-perros.jpg,100 Gr., 1.15 € 
